,value,distance,amount
0,0.0,6462.4,55.58
1,14.0,978.9,8.42
2,1.0,835.0,7.18
3,94.0,472.5,4.06
4,81.0,362.7,3.12
5,27.0,331.1,2.85
6,41.0,297.9,2.56
7,100.0,293.3,2.52
8,5.0,250.9,2.16
9,79.0,175.1,1.51
10,3.0,152.4,1.31
11,11.0,149.5,1.29
12,10.0,129.2,1.11
13,96.0,120.9,1.04
14,17.0,64.4,0.55
15,7.0,60.6,0.52
16,54.0,55.4,0.48
17,67.0,51.4,0.44
18,15.0,46.3,0.4
19,85.0,39.5,0.34
20,74.0,38.4,0.33
21,19.0,38.2,0.33
22,24.0,37.0,0.32
23,57.0,26.9,0.23
24,30.0,26.2,0.22
25,47.0,21.4,0.18
26,39.0,19.3,0.17
27,50.0,13.1,0.11
28,25.0,13.1,0.11
29,28.0,13.0,0.11
30,60.0,11.8,0.1
31,77.0,12.0,0.1
32,43.0,10.4,0.09
33,26.0,10.3,0.09
34,2.0,6.5,0.06
