,value,distance,amount
0,0.0,3587.7,32.12
1,100.0,1928.7,17.27
2,2.0,1066.9,9.55
3,85.0,978.9,8.76
4,4.0,710.1,6.36
5,22.0,437.0,3.91
6,11.0,348.4,3.12
7,12.0,313.3,2.81
8,5.0,294.5,2.64
9,9.0,210.4,1.88
10,3.0,178.6,1.6
11,87.0,156.6,1.4
12,44.0,149.5,1.34
13,55.0,117.4,1.05
14,38.0,103.4,0.93
15,32.0,100.6,0.9
16,10.0,85.3,0.76
17,34.0,82.4,0.74
18,78.0,63.0,0.56
19,48.0,58.5,0.52
20,64.0,57.7,0.52
21,66.0,31.6,0.28
22,6.0,30.7,0.27
23,29.0,20.6,0.18
24,33.0,13.6,0.12
25,50.0,13.6,0.12
26,26.0,11.2,0.1
27,8.0,6.8,0.06
28,56.0,3.0,0.03
29,27.0,2.8,0.03
30,62.0,2.3,0.02
31,86.0,2.0,0.02
32,91.0,2.8,0.02
