,value,distance,amount
0,0.0,5607.8,45.78
1,4.0,1273.2,10.39
2,2.0,803.2,6.56
3,9.0,545.2,4.45
4,25.0,520.1,4.25
5,100.0,463.2,3.78
6,3.0,395.6,3.23
7,11.0,380.8,3.11
8,97.0,370.2,3.02
9,85.0,301.1,2.46
10,5.0,267.3,2.18
11,1.0,207.8,1.7
12,87.0,188.8,1.54
13,37.0,154.8,1.26
14,6.0,139.8,1.14
15,38.0,135.4,1.11
16,7.0,134.8,1.1
17,41.0,95.9,0.78
18,22.0,89.7,0.73
19,15.0,50.5,0.41
20,86.0,35.2,0.29
21,91.0,30.1,0.25
22,84.0,18.5,0.15
23,13.0,12.1,0.1
24,21.0,11.0,0.09
25,52.0,10.0,0.08
26,48.0,4.1,0.03
27,31.0,3.3,0.03
